year,region,location,block,genotype,rainfall,temperature,soil_ph,yield
2018,MT,MT1,1,G1,939.7371322408986,27.861735698828817,6.3943065614302075,7.163726085707559
2018,MT,MT1,1,G2,939.7371322408986,27.861735698828817,6.3943065614302075,6.823532598410822
2018,MT,MT1,1,G3,939.7371322408986,27.861735698828817,6.3943065614302075,6.81442383256319
2018,MT,MT1,1,G4,939.7371322408986,27.861735698828817,6.3943065614302075,6.7256852969609096
2018,MT,MT1,1,G5,939.7371322408986,27.861735698828817,6.3943065614302075,6.463445370974121
2018,MT,MT1,1,G6,939.7371322408986,27.861735698828817,6.3943065614302075,5.49104915372329
2018,MT,MT1,1,G7,939.7371322408986,27.861735698828817,6.3943065614302075,6.173863582325742
2018,MT,MT1,1,G8,939.7371322408986,27.861735698828817,6.3943065614302075,6.545438936022884
2018,MT,MT1,1,G9,939.7371322408986,27.861735698828817,6.3943065614302075,6.329553091339211
2018,MT,MT1,1,G10,939.7371322408986,27.861735698828817,6.3943065614302075,6.524539938831987
2018,MT,MT1,1,G11,939.7371322408986,27.861735698828817,6.3943065614302075,5.922568998698598
2018,MT,MT1,1,G12,939.7371322408986,27.861735698828817,6.3943065614302075,6.415515138488502
2018,MT,MT1,2,G1,939.7371322408986,27.861735698828817,6.3943065614302075,6.6314962874435235
2018,MT,MT1,2,G2,939.7371322408986,27.861735698828817,6.3943065614302075,6.364325995725826
2018,MT,MT1,2,G3,939.7371322408986,27.861735698828817,6.3943065614302075,7.339556646945004
2018,MT,MT1,2,G4,939.7371322408986,27.861735698828817,6.3943065614302075,6.342769428927294
2018,MT,MT1,2,G5,939.7371322408986,27.861735698828817,6.3943065614302075,6.154780077101559
2018,MT,MT1,2,G6,939.7371322408986,27.861735698828817,6.3943065614302075,5.55183955875742
2018,MT,MT1,2,G7,939.7371322408986,27.861735698828817,6.3943065614302075,6.827782628435748
2018,MT,MT1,2,G8,939.7371322408986,27.861735698828817,6.3943065614302075,6.646762474087356
2018,MT,MT1,2,G9,939.7371322408986,27.861735698828817,6.3943065614302075,6.185198941779815
2018,MT,MT1,2,G10,939.7371322408986,27.861735698828817,6.3943065614302075,6.221279380539175
2018,MT,MT1,2,G11,939.7371322408986,27.861735698828817,6.3943065614302075,7.0929173664902745
2018,MT,MT1,2,G12,939.7371322408986,27.861735698828817,6.3943065614302075,5.960945549822881
2018,MT,MT1,3,G1,939.7371322408986,27.861735698828817,6.3943065614302075,6.3119275058612985
2018,MT,MT1,3,G2,939.7371322408986,27.861735698828817,6.3943065614302075,7.052215238124553
2018,MT,MT1,3,G3,939.7371322408986,27.861735698828817,6.3943065614302075,6.806013361090968
2018,MT,MT1,3,G4,939.7371322408986,27.861735698828817,6.3943065614302075,6.543912554029243
