year,region,location,block,genotype,rainfall,temperature,soil_ph,yield,gdd,rainfall_anomaly,temperature_anomaly,water_stress_index,gdd_genotype,rain_temp_interaction,environment,yield_normalized
2018,MT,MT1,1,G1,939.7371322408986,27.861735698828817,6.394306561430208,7.163726085707559,17.861735698828817,61.37088778446616,-0.13569275629875932,0.02964843544320706,0.0,26182.707604871262,MT_2018,0.6921797791243494
2018,MT,MT1,1,G2,939.7371322408986,27.861735698828817,6.394306561430208,6.823532598410822,17.861735698828817,61.37088778446616,-0.13569275629875932,0.02964843544320706,71.44694279531527,26182.707604871262,MT_2018,0.3519862918276129
2018,MT,MT1,1,G3,939.7371322408986,27.861735698828817,6.394306561430208,6.81442383256319,17.861735698828817,61.37088778446616,-0.13569275629875932,0.02964843544320706,89.30867849414409,26182.707604871262,MT_2018,0.3428775259799801
2018,MT,MT1,1,G4,939.7371322408986,27.861735698828817,6.394306561430208,6.7256852969609096,17.861735698828817,61.37088778446616,-0.13569275629875932,0.02964843544320706,107.1704141929729,26182.707604871262,MT_2018,0.25413899037770005
2018,MT,MT1,1,G5,939.7371322408986,27.861735698828817,6.394306561430208,6.463445370974121,17.861735698828817,61.37088778446616,-0.13569275629875932,0.02964843544320706,125.03214989180171,26182.707604871262,MT_2018,-0.008100935609088644
2018,MT,MT1,1,G6,939.7371322408986,27.861735698828817,6.394306561430208,5.49104915372329,17.861735698828817,61.37088778446616,-0.13569275629875932,0.02964843544320706,142.89388559063053,26182.707604871262,MT_2018,-0.9804971528599191
2018,MT,MT1,1,G7,939.7371322408986,27.861735698828817,6.394306561430208,6.173863582325742,17.861735698828817,61.37088778446616,-0.13569275629875932,0.02964843544320706,160.75562128945936,26182.707604871262,MT_2018,-0.29768272425746733
2018,MT,MT1,1,G8,939.7371322408986,27.861735698828817,6.394306561430208,6.545438936022884,17.861735698828817,61.37088778446616,-0.13569275629875932,0.02964843544320706,178.61735698828818,26182.707604871262,MT_2018,0.07389262943967445
2018,MT,MT1,1,G9,939.7371322408986,27.861735698828817,6.394306561430208,6.329553091339211,17.861735698828817,61.37088778446616,-0.13569275629875932,0.02964843544320706,196.47909268711697,26182.707604871262,MT_2018,-0.14199321524399888
2018,MT,MT1,1,G10,939.7371322408986,27.861735698828817,6.394306561430208,6.524539938831987,17.861735698828817,61.37088778446616,-0.13569275629875932,0.02964843544320706,17.861735698828817,26182.707604871262,MT_2018,0.05299363224877762
2018,MT,MT1,1,G11,939.7371322408986,27.861735698828817,6.394306561430208,5.922568998698598,17.861735698828817,61.37088778446616,-0.13569275629875932,0.02964843544320706,35.72347139765763,26182.707604871262,MT_2018,-0.5489773078846119
2018,MT,MT1,1,G12,939.7371322408986,27.861735698828817,6.394306561430208,6.415515138488502,17.861735698828817,61.37088778446616,-0.13569275629875932,0.02964843544320706,53.58520709648645,26182.707604871262,MT_2018,-0.05603116809470787
